ProductID,Name,Brand,Color,Depth,Height,Width,Weight,Price,Warranty,StockAvailability,TextualDescription,CategoryID,Stock,SoldQuantity
PROD001,Conditioner,Anderson Inc,Tan,0.2,0.15,0.24,8.19,45.3,4,99.0,A premium quality Conditioner designed for exceptional performance and durability in beauty applications.,CAT007,100,1.0
PROD002,Smartphone,Myers-Villarreal,Aquamarine,0.83,1.01,0.96,3.53,176.33,5,98.0,A premium quality Smartphone designed for exceptional performance and durability in electronics applications.,CAT001,100,2.0
PROD003,Tablet,"Jennings, Dickson and Hernandez",Ivory,0.47,1.25,0.17,3.21,558.34,2,97.0,A premium quality Tablet designed for exceptional performance and durability in electronics applications.,CAT001,100,3.0
PROD004,Lamp,"Mckinney, Wilkerson and Cummings",FireBrick,1.7,1.42,0.63,1.75,114.44,5,95.0,A premium quality Lamp designed for exceptional performance and durability in home applications.,CAT004,100,5.0
PROD005,Building Blocks,Avery and Sons,CornflowerBlue,0.2,0.71,0.15,1.96,16.17,4,96.0,A premium quality Building Blocks designed for exceptional performance and durability in toys applications.,CAT005,100,4.0
PROD006,Board Game,Frost-Warren,Coral,0.1,0.47,0.37,6.64,8.01,4,93.0,A premium quality Board Game designed for exceptional performance and durability in toys applications.,CAT005,100,7.0
PROD007,Curtains,Johnson-Gray,Magenta,0.74,0.78,1.4,7.74,39.0,2,96.0,A premium quality Curtains designed for exceptional performance and durability in home applications.,CAT004,100,4.0
PROD008,Conditioner,"Santana, Mercado and Morrow",DarkTurquoise,0.25,0.41,0.11,3.59,37.81,3,92.0,A premium quality Conditioner designed for exceptional performance and durability in beauty applications.,CAT007,100,8.0
PROD009,Kids' Jacket,"Jones, Ortiz and Hunter",RosyBrown,0.47,1.27,0.75,0.73,10.46,3,93.0,A premium quality Kids' Jacket designed for exceptional performance and durability in clothing applications.,CAT003,100,7.0
PROD010,Car Wax,Lawrence-Carney,Khaki,1.36,1.21,0.93,7.53,247.92,1,91.0,A premium quality Car Wax designed for exceptional performance and durability in automotive applications.,CAT008,100,9.0
PROD011,Dash Cam,Morrison-Poole,BurlyWood,1.39,0.29,0.46,0.42,216.24,1,97.0,A premium quality Dash Cam designed for exceptional performance and durability in automotive applications.,CAT008,100,3.0
PROD012,Headphones,Johnson-Jones,GoldenRod,0.12,1.76,1.23,5.03,961.82,1,94.0,A premium quality Headphones designed for exceptional performance and durability in electronics applications.,CAT001,100,6.0
PROD013,Conditioner,"Warren, Francis and Carr",FireBrick,0.28,0.25,0.13,8.22,60.23,1,93.0,A premium quality Conditioner designed for exceptional performance and durability in beauty applications.,CAT007,100,7.0
PROD014,Cookbook,Johnson-Boyd,MediumOrchid,0.05,0.17,0.08,1.26,21.53,1,92.0,A premium quality Cookbook designed for exceptional performance and durability in books applications.,CAT002,100,8.0
PROD015,Router,Little Ltd,Green,0.62,0.55,1.0,2.43,208.33,1,92.0,A premium quality Router designed for exceptional performance and durability in electronics applications.,CAT001,100,8.0
PROD016,Microwave,"Walls, Robinson and Lam",CadetBlue,1.1,0.77,0.61,9.57,121.32,2,95.0,A premium quality Microwave designed for exceptional performance and durability in home applications.,CAT004,100,5.0
PROD017,Car Cover,Newman-Mckinney,Thistle,0.1,1.81,0.48,2.16,161.34,5,94.0,A premium quality Car Cover designed for exceptional performance and durability in automotive applications.,CAT008,100,6.0
PROD018,Science Textbook,Campbell-Berry,NavajoWhite,0.05,0.14,0.15,7.09,43.21,1,97.0,A premium quality Science Textbook designed for exceptional performance and durability in books applications.,CAT002,100,3.0
PROD019,Coffee Table,Baker and Sons,Chocolate,1.37,1.87,0.96,1.62,141.91,1,94.0,A premium quality Coffee Table designed for exceptional performance and durability in home applications.,CAT004,100,6.0
PROD020,Curtains,Beltran Inc,MintCream,1.57,1.48,0.91,8.83,374.63,5,95.0,A premium quality Curtains designed for exceptional performance and durability in home applications.,CAT004,100,5.0
PROD021,Tennis Racket,Barnes-Watts,FireBrick,0.69,1.43,0.22,1.23,208.46,1,91.0,A premium quality Tennis Racket designed for exceptional performance and durability in sports applications.,CAT006,100,9.0
PROD022,Car Cover,Alvarez-Martin,Tomato,0.24,1.08,1.21,1.64,72.06,5,95.0,A premium quality Car Cover designed for exceptional performance and durability in automotive applications.,CAT008,100,5.0
PROD023,Bicycle Helmet,"Price, Charles and Lee",CornflowerBlue,0.91,1.23,0.69,0.44,241.41,1,94.0,A premium quality Bicycle Helmet designed for exceptional performance and durability in sports applications.,CAT006,100,6.0
PROD024,Action Figure,"Cunningham, Taylor and Soto",PaleVioletRed,0.32,0.85,0.32,5.26,84.52,1,85.0,A premium quality Action Figure designed for exceptional performance and durability in toys applications.,CAT005,100,15.0
PROD025,Monitor,Jensen-Prince,MediumTurquoise,0.24,0.9,1.0,1.28,873.8,1,99.0,A premium quality Monitor designed for exceptional performance and durability in electronics applications.,CAT001,100,1.0
PROD026,Fiction Novel,Smith and Sons,White,0.05,0.29,0.11,5.26,8.39,2,94.0,A premium quality Fiction Novel designed for exceptional performance and durability in books applications.,CAT002,100,6.0
PROD027,Puzzle,Steele-Chang,Plum,0.16,0.79,0.16,1.07,99.08,2,96.0,A premium quality Puzzle designed for exceptional performance and durability in toys applications.,CAT005,100,4.0
PROD028,Women's Jeans,Fox-Barnes,SlateGray,1.23,0.77,0.33,6.95,143.65,4,97.0,A premium quality Women's Jeans designed for exceptional performance and durability in clothing applications.,CAT003,100,3.0
PROD029,Toy Car,Herrera Ltd,PapayaWhip,0.18,0.21,0.19,6.51,75.66,4,93.0,A premium quality Toy Car designed for exceptional performance and durability in toys applications.,CAT005,100,7.0
PROD030,History Book,"Middleton, Carson and Burton",Snow,0.02,0.22,0.19,5.57,38.09,1,90.0,A premium quality History Book designed for exceptional performance and durability in books applications.,CAT002,100,10.0
PROD031,Dining Table,Atkinson and Sons,Indigo,1.23,1.29,0.9,7.88,412.16,4,97.0,A premium quality Dining Table designed for exceptional performance and durability in home applications.,CAT004,100,3.0
PROD032,Laptop,"Manning, Martin and Johnson",Chartreuse,0.69,0.76,0.64,3.48,428.44,3,95.0,A premium quality Laptop designed for exceptional performance and durability in electronics applications.,CAT001,100,5.0
PROD033,Children's Story,Jackson and Sons,Chartreuse,0.03,0.14,0.18,1.34,17.64,1,98.0,A premium quality Children's Story designed for exceptional performance and durability in books applications.,CAT002,100,2.0
PROD034,Curtains,Campbell Group,Lavender,0.93,1.09,1.41,2.08,193.95,2,99.0,A premium quality Curtains designed for exceptional performance and durability in home applications.,CAT004,100,1.0
PROD035,Dumbbells,"Martinez, Berry and Wagner",Beige,0.38,0.46,0.47,7.18,191.43,5,98.0,A premium quality Dumbbells designed for exceptional performance and durability in sports applications.,CAT006,100,2.0
PROD036,Nail Polish,Washington Inc,PeachPuff,0.1,0.34,0.29,1.15,38.14,2,93.0,A premium quality Nail Polish designed for exceptional performance and durability in beauty applications.,CAT007,100,7.0
PROD037,Tablet,Mcclain Group,LemonChiffon,1.3,1.43,0.25,8.57,593.38,3,93.0,A premium quality Tablet designed for exceptional performance and durability in electronics applications.,CAT001,100,7.0
PROD038,GPS Navigator,"Novak, Becker and Levy",DarkGreen,0.49,0.89,0.65,5.33,81.35,3,96.0,A premium quality GPS Navigator designed for exceptional performance and durability in automotive applications.,CAT008,100,4.0
PROD039,Hat,Green-Campos,DarkOrchid,1.4,1.02,0.11,6.27,123.02,2,98.0,A premium quality Hat designed for exceptional performance and durability in clothing applications.,CAT003,100,2.0
PROD040,Building Blocks,Myers-Smith,Violet,0.1,0.27,0.06,9.48,14.3,3,84.0,A premium quality Building Blocks designed for exceptional performance and durability in toys applications.,CAT005,100,16.0
PROD041,Dining Table,Shields Inc,LightPink,1.75,0.59,1.45,7.73,351.12,5,100.0,A premium quality Dining Table designed for exceptional performance and durability in home applications.,CAT004,100,0.0
PROD042,Dining Table,"Peterson, Avila and Harvey",Chocolate,0.93,1.66,1.13,2.08,177.85,5,93.0,A premium quality Dining Table designed for exceptional performance and durability in home applications.,CAT004,100,7.0
PROD043,Building Blocks,"Hooper, Dean and Burke",Maroon,0.46,0.83,0.23,3.75,62.7,1,97.0,A premium quality Building Blocks designed for exceptional performance and durability in toys applications.,CAT005,100,3.0
PROD044,Seat Cushion,"White, Sloan and Ball",LimeGreen,0.66,0.39,0.57,8.5,249.44,1,94.0,A premium quality Seat Cushion designed for exceptional performance and durability in automotive applications.,CAT008,100,6.0
PROD045,Soccer Ball,"Krause, Garcia and Lewis",Thistle,0.8,1.04,0.42,2.0,29.53,4,100.0,A premium quality Soccer Ball designed for exceptional performance and durability in sports applications.,CAT006,100,0.0
PROD046,Camera,Johnson-Day,Tan,0.77,1.07,0.28,9.41,964.16,3,96.0,A premium quality Camera designed for exceptional performance and durability in electronics applications.,CAT001,100,4.0
PROD047,Toy Car,Thompson and Sons,Khaki,0.13,0.96,0.08,8.8,16.53,4,96.0,A premium quality Toy Car designed for exceptional performance and durability in toys applications.,CAT005,100,4.0
PROD048,GPS Navigator,Acevedo PLC,Violet,0.18,0.43,0.64,6.21,169.13,4,94.0,A premium quality GPS Navigator designed for exceptional performance and durability in automotive applications.,CAT008,100,6.0
PROD049,Chair,Boone-Wilson,LightSeaGreen,1.18,0.7,0.53,1.01,20.48,3,90.0,A premium quality Chair designed for exceptional performance and durability in home applications.,CAT004,100,10.0
PROD050,Dining Table,"Harris, Johnson and Anderson",LightGreen,1.04,0.55,0.58,6.6,368.57,1,93.0,A premium quality Dining Table designed for exceptional performance and durability in home applications.,CAT004,100,7.0
PROD051,GPS Navigator,Wright Ltd,HotPink,0.27,1.29,0.23,9.93,200.94,1,96.0,A premium quality GPS Navigator designed for exceptional performance and durability in automotive applications.,CAT008,100,4.0
PROD052,Blender,Cummings and Sons,GhostWhite,0.75,1.38,1.13,9.95,182.82,4,97.0,A premium quality Blender designed for exceptional performance and durability in home applications.,CAT004,100,3.0
PROD053,Graphic Novel,Wood LLC,Beige,0.02,0.24,0.16,7.56,11.91,4,99.0,A premium quality Graphic Novel designed for exceptional performance and durability in books applications.,CAT002,100,1.0
PROD054,GPS Navigator,Tucker Group,Gainsboro,1.15,0.74,0.77,9.27,101.01,2,94.0,A premium quality GPS Navigator designed for exceptional performance and durability in automotive applications.,CAT008,100,6.0
PROD055,Car Cover,Gomez-Maldonado,Chartreuse,0.66,1.9,1.03,6.46,191.37,2,88.0,A premium quality Car Cover designed for exceptional performance and durability in automotive applications.,CAT008,100,12.0
PROD056,Building Blocks,Roberts-Mccall,FloralWhite,0.3,0.31,0.11,7.94,88.24,4,97.0,A premium quality Building Blocks designed for exceptional performance and durability in toys applications.,CAT005,100,3.0
PROD057,Doll,Walker-Blevins,Tan,0.36,0.44,0.19,2.31,48.93,4,88.0,A premium quality Doll designed for exceptional performance and durability in toys applications.,CAT005,100,12.0
PROD058,Moisturizer,"Porter, Phillips and Mcknight",CadetBlue,0.27,0.33,0.23,9.78,52.37,2,98.0,A premium quality Moisturizer designed for exceptional performance and durability in beauty applications.,CAT007,100,2.0
PROD059,Sofa,"Ross, Nelson and Zamora",DarkOrange,1.7,1.22,0.96,2.99,176.72,1,91.0,A premium quality Sofa designed for exceptional performance and durability in home applications.,CAT004,100,9.0
PROD060,Perfume,Herrera-Davenport,RosyBrown,0.08,0.35,0.08,9.9,90.82,1,94.0,A premium quality Perfume designed for exceptional performance and durability in beauty applications.,CAT007,100,6.0
PROD061,Laptop,"Adams, Maldonado and Smith",GreenYellow,1.31,0.35,0.53,8.91,495.28,5,94.0,A premium quality Laptop designed for exceptional performance and durability in electronics applications.,CAT001,100,6.0
PROD062,Router,Anderson and Sons,HoneyDew,0.35,0.53,1.09,9.0,119.8,5,98.0,A premium quality Router designed for exceptional performance and durability in electronics applications.,CAT001,100,2.0
PROD063,Hat,"Johnson, Lopez and Perez",OldLace,1.22,1.23,0.49,2.92,106.16,1,100.0,A premium quality Hat designed for exceptional performance and durability in clothing applications.,CAT003,100,0.0
PROD064,Graphic Novel,Anderson-Norris,Tomato,0.05,0.19,0.16,4.42,28.14,2,93.0,A premium quality Graphic Novel designed for exceptional performance and durability in books applications.,CAT002,100,7.0
PROD065,Bicycle Helmet,Yoder-Wong,Blue,0.5,1.16,0.81,6.21,180.03,5,90.0,A premium quality Bicycle Helmet designed for exceptional performance and durability in sports applications.,CAT006,100,10.0
PROD066,Children's Story,Crosby Ltd,SeaGreen,0.02,0.28,0.07,6.9,38.46,2,92.0,A premium quality Children's Story designed for exceptional performance and durability in books applications.,CAT002,100,8.0
PROD067,Building Blocks,Tran-Sims,LimeGreen,0.24,0.13,0.31,7.95,9.42,5,93.0,A premium quality Building Blocks designed for exceptional performance and durability in toys applications.,CAT005,100,7.0
PROD068,Moisturizer,"Higgins, Castillo and Gutierrez",DarkMagenta,0.17,0.47,0.26,9.01,90.29,4,92.0,A premium quality Moisturizer designed for exceptional performance and durability in beauty applications.,CAT007,100,8.0
PROD069,Basketball,"Horn, Williamson and Wright",SpringGreen,0.96,0.26,0.43,3.48,219.09,1,89.0,A premium quality Basketball designed for exceptional performance and durability in sports applications.,CAT006,100,11.0
PROD070,Smartphone,"Williams, Mitchell and Brown",LavenderBlush,0.94,0.45,0.91,0.76,193.93,3,98.0,A premium quality Smartphone designed for exceptional performance and durability in electronics applications.,CAT001,100,2.0
PROD071,Router,Moyer-Mills,Violet,0.4,0.33,1.23,4.58,785.64,2,96.0,A premium quality Router designed for exceptional performance and durability in electronics applications.,CAT001,100,4.0
PROD072,Conditioner,Black PLC,PowderBlue,0.26,0.21,0.19,4.32,18.95,3,97.0,A premium quality Conditioner designed for exceptional performance and durability in beauty applications.,CAT007,100,3.0
PROD073,Dress,Lee and Sons,Beige,0.55,0.79,0.62,1.2,59.22,5,91.0,A premium quality Dress designed for exceptional performance and durability in clothing applications.,CAT003,100,9.0
PROD074,Running Shoes,Newton-Brown,GoldenRod,1.13,1.29,0.71,8.4,34.8,2,96.0,A premium quality Running Shoes designed for exceptional performance and durability in clothing applications.,CAT003,100,4.0
PROD075,Tire Inflator,Oconnor and Sons,Beige,0.16,1.14,0.94,9.11,150.83,2,97.0,A premium quality Tire Inflator designed for exceptional performance and durability in automotive applications.,CAT008,100,3.0
PROD076,Women's Jeans,Rodriguez-Miller,Turquoise,1.15,0.61,0.17,9.55,144.25,1,93.0,A premium quality Women's Jeans designed for exceptional performance and durability in clothing applications.,CAT003,100,7.0
PROD077,Kids' Jacket,Brown-Gallagher,DeepPink,1.15,0.89,0.34,7.62,32.96,2,95.0,A premium quality Kids' Jacket designed for exceptional performance and durability in clothing applications.,CAT003,100,5.0
PROD078,Laptop,"Garcia, Baker and Cooper",DarkSlateGray,0.92,0.47,0.3,8.38,104.55,2,93.0,A premium quality Laptop designed for exceptional performance and durability in electronics applications.,CAT001,100,7.0
PROD079,History Book,Bradshaw Inc,SeaShell,0.04,0.18,0.19,2.75,29.19,3,99.0,A premium quality History Book designed for exceptional performance and durability in books applications.,CAT002,100,1.0
PROD080,Laptop,"Hoffman, Boyle and Miller",DarkSlateBlue,1.27,1.53,0.16,2.74,347.42,4,91.0,A premium quality Laptop designed for exceptional performance and durability in electronics applications.,CAT001,100,9.0
PROD081,Graphic Novel,Frazier-Galvan,MediumSeaGreen,0.04,0.3,0.1,7.96,26.11,2,95.0,A premium quality Graphic Novel designed for exceptional performance and durability in books applications.,CAT002,100,5.0
PROD082,Children's Story,Coleman Group,DarkViolet,0.04,0.23,0.14,7.97,22.19,1,91.0,A premium quality Children's Story designed for exceptional performance and durability in books applications.,CAT002,100,9.0
PROD083,Children's Story,Wagner LLC,LightYellow,0.03,0.21,0.09,6.83,17.69,2,96.0,A premium quality Children's Story designed for exceptional performance and durability in books applications.,CAT002,100,4.0
PROD084,Nail Polish,"Tucker, Green and Carrillo",SaddleBrown,0.11,0.2,0.06,5.22,76.77,4,93.0,A premium quality Nail Polish designed for exceptional performance and durability in beauty applications.,CAT007,100,7.0
PROD085,Doll,Odonnell-Pope,PaleGreen,0.09,0.71,0.44,4.87,42.56,1,97.0,A premium quality Doll designed for exceptional performance and durability in toys applications.,CAT005,100,3.0
PROD086,Headphones,"Edwards, Barrett and Schmidt",MediumSeaGreen,0.32,1.87,0.42,9.66,110.11,4,89.0,A premium quality Headphones designed for exceptional performance and durability in electronics applications.,CAT001,100,11.0
PROD087,Children's Story,Hernandez-Smith,SeaGreen,0.05,0.12,0.12,1.42,27.02,4,95.0,A premium quality Children's Story designed for exceptional performance and durability in books applications.,CAT002,100,5.0
PROD088,Basketball,Montgomery Inc,Aqua,0.69,1.03,0.74,2.11,143.78,2,97.0,A premium quality Basketball designed for exceptional performance and durability in sports applications.,CAT006,100,3.0
PROD089,Sweater,Barber-Wilson,Brown,0.5,1.95,0.59,0.9,91.31,2,91.0,A premium quality Sweater designed for exceptional performance and durability in clothing applications.,CAT003,100,9.0
PROD090,Smartwatch,Rios PLC,AliceBlue,0.85,0.73,1.08,4.31,404.24,1,98.0,A premium quality Smartwatch designed for exceptional performance and durability in electronics applications.,CAT001,100,2.0
PROD091,Action Figure,Warner Inc,HoneyDew,0.15,0.93,0.38,2.72,86.28,2,100.0,A premium quality Action Figure designed for exceptional performance and durability in toys applications.,CAT005,100,0.0
PROD092,Shampoo,Simmons-White,Aqua,0.3,0.25,0.08,3.35,100.58,4,98.0,A premium quality Shampoo designed for exceptional performance and durability in beauty applications.,CAT007,100,2.0
PROD093,Science Textbook,"Smith, Johnson and Ferguson",Salmon,0.05,0.23,0.16,7.18,40.07,1,95.0,A premium quality Science Textbook designed for exceptional performance and durability in books applications.,CAT002,100,5.0
PROD094,Women's Jeans,Mosley and Sons,PowderBlue,0.29,0.53,0.53,7.09,90.52,4,95.0,A premium quality Women's Jeans designed for exceptional performance and durability in clothing applications.,CAT003,100,5.0
PROD095,Kids' Jacket,Armstrong-Allen,LightSlateGray,1.3,0.68,0.32,7.03,46.82,1,91.0,A premium quality Kids' Jacket designed for exceptional performance and durability in clothing applications.,CAT003,100,9.0
PROD096,Puzzle,Carr-Olson,Aquamarine,0.24,0.72,0.41,9.3,45.54,2,99.0,A premium quality Puzzle designed for exceptional performance and durability in toys applications.,CAT005,100,1.0
PROD097,Bicycle Helmet,"Dudley, Peterson and Thompson",DarkOrange,0.58,1.15,0.82,8.66,192.1,5,100.0,A premium quality Bicycle Helmet designed for exceptional performance and durability in sports applications.,CAT006,100,0.0
PROD098,Tennis Racket,Jordan LLC,Pink,0.25,0.42,0.6,6.53,184.12,5,89.0,A premium quality Tennis Racket designed for exceptional performance and durability in sports applications.,CAT006,100,11.0
PROD099,Foundation,Henderson Inc,Moccasin,0.09,0.38,0.24,3.33,193.49,4,99.0,A premium quality Foundation designed for exceptional performance and durability in beauty applications.,CAT007,100,1.0
PROD100,Graphic Novel,Ramsey-Edwards,LightGreen,0.04,0.27,0.12,6.01,23.31,5,90.0,A premium quality Graphic Novel designed for exceptional performance and durability in books applications.,CAT002,100,10.0
